Local en Prosperidad, Madrid;250.000;70;918 181 061;Redpiso Vende Local en Calle Ramos Carrión, próximo a la calles principales Lopez de Hoyos y Clara del Rey, en una zona muy comercial y b...
Local en avenida de Carabanchel Alto, 76, Buena Vista, Madrid;310.000;203;919 196 669;Redpiso Buenavista vende en exclusiva 2 estupendos locales conectados entre si de 163 m² útiles (96 y 67) en total. Se compone de Bar con...
Local en Prosperidad, Madrid;295.000;208;918 181 061;¡Excelente Oportunidad! Redpiso vende local con salida de humos. Local de 208 m2 construidos a pie de calle, distribuidos en 2 plantas. e...
Local en calle de Camarena, Aluche, Madrid;178.000;102;696 494 822;Magnífico local de esquina, situado a pie de calle, en la parte principal y central de la calle Camarena, de 102 m2, todo en planta baja....
Local en calle Cipriano Sancho, Ventas, Madrid;287.800;421;912 179 375;Mr. House Real Estate vende: Local comercial ubicado en la calle Cipriano Sancho, en Madrid. Este local tiene unas características idóne...
Local en calle de Lérida, Cuzco-Castillejos, Madrid;1.000.000;391;650 841 657;Local en rentabilidad en pleno barrio de Castillejos (Tetuán), junto a la calle Bravo Murillo. Escuela Infantil consolidada en el barrio...
Local en paseo de la Castellana, 234, Castilla, Madrid;550.000;122;914 891 807;SALESMAN PROPERTY vende local en Paseo de la Castellana, magnifico local en esquina, con mucho escaparate, junto a las 4 torres, consta d...
Local en calle Gandia, Adelfas, Madrid;99.000;40;912 666 718;Acogedor local en venta en la zona de Adelfas, perteneciente al distrito de Retiro. Se trata de un local pequeño que anteriormente desem...
Local en calle Amadeo I, s/n, Numancia, Madrid;175.000;185;916 358 417;Especial inversores. local dividido en 5 despachos-loft con baño y cocina cada uno, totalmente reformado, suelos gres porcelánico, parede...
Nave en Valle de Tobalina, 14, San Andrés, Madrid;565.000;680;91 534 48 31;¡Oportunidad única! Nave de 680 metros - 340 por planta - situada en esquina en la calle más importante del polígono industrial de Villav...
Local en calle Suero de Quiñones, Ciudad Jardín, Madrid;629.100;275;912 179 375;MR HOUSE REAL ESTATE VENDE! Amplio local en la C/Sueño de Quiñones, situado en Ciudad Jardín, distrito Chamartín. Incluye en su interior...
Local en calle de Vallehermoso, Arapiles, Madrid;603.000;185;912 179 375;MR HOUSE REAL ESTATE VENDE! Local en C/Vallehermoso, Madrid. Consta de 185 m2, distribuidos en planta baja de un edificio con ascensor....
Local en calle de El Españoleto, Almagro, Madrid;320.000;71;910 378 491;Real Estate Almagro! Vende magnifico local CON LICENCIA DE COMERCIO. Reformado de 71 m2, en pleno Barrio Chamberí-Almagro, posiblemente e...
Local en calle de Santa Engracia, Trafalgar, Madrid;999.900;241;918 336 958;¡Oportunidad para su negocio! Se vende local en Plaza de Chamberí escaparate a dos calles y con el Museo de la Estación de Chamberí en pu...
Local o nave en calle de la Ventosa, Palacio, Madrid;318.000;195;915 357 200;Vivienda2 vende local en esquina con 2 entradas, calle y portal de la finca, para reformar. Ubicado en la zona de Palacio, junto a la Bas...
Local en calle Fundadores, Fuente del Berro, Madrid;360.000;214;629 956 224;Oficina o local comercial de 136m2 en planta calle y 80m2 en sótano. Se puede convertir en vivienda. Doble entrada, una por calle Fundado...
Nave en carretera de Toledo, San Andrés, Madrid;1.250.000;2.500;912 179 375;Mr. House Real Estate VENDE O ALQUILA MAGNÍFICA NAVE en una de las zonas con mayor paso de vehículos de la Carretera Toledo. Se trata de...
Local en calle de Béjar, Madrid, Guindalera, Madrid;205.000;78;913 559 999;Local comercial funcionando actualmente como bar con una superficie aproximada de 78 m2. Consta de planta baja con salón, cocina totalmen...
Local en avenida de la Ciudad de Barcelona, Adelfas, Madrid;350.000;175;912 791 301;REDPISO ADELFAS vende magnífico Bar/Restaurante de 130 m² más 45 m² de patio de uso y disfrute del local, a pie de calle y ubicado en la...
Local en calle Amos de Escalante, Pueblo Nuevo, Madrid;470.000;475;918 315 618;Excelente local a pie de calle y con acceso a personas con movilidad reducida. 475 mts en una sola planta distribuidos en amplia recepció...
Local en calle de Emilio Ferrari, Pueblo Nuevo, Madrid;255.000;202;912 335 582;Grupo Inmobiliario Redpiso Ciudad Lineal Ascao. Vende Local comercial en la calle Emilio Ferrari, de 202 m². El local consta de dos plant...
Local en calle de Santa Brígida, Chueca-Justicia, Madrid;1.020.000;270;650 841 657;Local en rentabilidad en pleno barrio de Chueca, junto a la calle Fuencarral. Recién reformado a estrenar y con contrato de alquiler vige...
Local en Castellana, Madrid;2.196.000;251;917 365 385;GVP REAL ESTATE I Arquitectos especializados en activos inmobiliarios prime comercializa, la siguiente propiedad: Este local se encuentr...
Local en La Escuadra, Lavapiés-Embajadores, Madrid;199.000;87;911 221 658;Century21 Inmuebles Debod vende local comercial a reformar con amplias posibilidades de obtener cédula de habitabilidad y ser convertido...
Local en calle Alfonso Rodríguez Castelao, 28, Peñagrande, Madrid;180.000;117;918 006 394;31real comercializa este local en venta, disponible en alquiler y tambien en alquiler! local en la zona de puerta de hierro, una de las...
Local en paseo Tierra de Melide, Las Tablas, Madrid;340.000;75;910 750 952;DEPLACE NO COBRAMOS AL COMPRADOR Y SOLO 2.990€ +IVA AL VENDEDOR. ¡Exclusivo piso en venta en Paseo Tierra de Melinde de Madrid! Este in...
Local en calle de Teruel, Cuatro Caminos, Madrid;260.000;102;910 750 952;DEPLACE NO COBRAMOS AL COMPRADOR Y SOLO 2.990€ + IVA AL VENDEDOR. ¡Fantástico local con solicitud de licencia de habitabilidad en curso,...
Local en calle del Aguacate, Buena Vista, Madrid;175.000;180;912 666 718;Local en venta en la calle del Aguacate, en la zona de Buena Vista. Buena ubicación. Cuenta con 180 m2 y es diáfano. Se localiza dentro...
Local en calle Avestruz, Aluche, Madrid;149.000;199;912 666 718;Estupendo local en venta en la zona de Aluche, perteneciente al distrito de Latina. Muy buena ubicación, a un paso de la calle Vía Carpet...
Local en Buenavista, Lavapiés-Embajadores, Madrid;195.000;55;915 306 812;Casas y Más vende Local en venta en calle Buenavista, acondicionado como vivienda, se distribuye en dos plantas bajo con 25 m2 y sótano c...
Local en Prosperidad, Madrid;240.000;160;918 181 061;Redpiso vende local de 160 m2 a pie de calle en una única planta, con ventilación y entrada de luz natural por la parte delantera y trase...
Local en calle de Canillas, Prosperidad, Madrid;305.000;285;608 633 319;Vendemos local en la calle Canillas (Prosperidad). Ubicación excelente. El local tiene muchas posibilidades de negocio, ya que se puede c...
Local en calle Antonia Mercé, Goya, Madrid;410.000;96;912 179 375;MR HOUSE REAL ESTATE VENDE: Local comercial situado privilegiadamente junto al Wizink Center, rodeado de grandes firmas comerciales. Ent...
Local en Lista, Madrid;550.000;38;914 894 826;Tenant Ret vende en exclusiva, local en rentabilidad situado en una de las mejores calles del Barrio Salamanca. Zona prime de Madrid con...
Local en calle de Juan Bravo, 75, Lista, Madrid;695.000;266;912 179 375;MR. HOUSE REAL ESTATE VENDE: Magnífico local comercial de 266 metros en pleno Barrio de Salamanca. Local dividido en tres plantas, con s...
Local en calle de Bravo Murillo, 50, Nuevos Ministerios-Ríos Rosas, Madrid;1.066.666;310;911 743 641;Atención inversores Retail vende local en rentabilidad en el tramo más comercial de la calle Bravo Murillo en pleno Distrito Chamberí, a...
Local en calle Sinfonía, Cuatro Vientos, Madrid;94.500;50;912 179 375;Mr House Real Estate VENDE! Local en la C/Sinfonía, Madrid Dispone de 50 m2, se trata de un espacio ideal para oficina Se trata de un lo...
Local en calle de Núñez de Balboa, Recoletos, Madrid;2.800.000;535;914 893 292;FANTASTICO LOCAL EN ZONA PRIME Estupendo local de 535 m2 construidos, situado en el mejor tramo de la calle Núñez de Balboa, en el barri...
Local en calle Donoso Cortés, Gaztambide, Madrid;490.000;193;911 743 641;Retail vende local comercial sito en la calle Donoso Cortés, muy cercano a la calle Princesa y la calle Cea Bermúdez. Zona rodeada de com...
Local en Pº IMPERIAL, Imperial, Madrid;530.250;195;913 664 192;LA CASA Agency vende local comercial de 195m² a pie de calle + posibilidad de 60 m² de terraza. Amplia fachada con dos escaparates, comp...
Local en calle de O'Donnell, Ibiza, Madrid;1.590.000;206;911 743 641;Atención inversores Retail vende magnífico local de hostelería en rentabilidad, sito en el céntrico Barrio de Retiro, en la calle O'Donn...
Local en Segovia, Palacio, Madrid;180.000;65;651 301 927;La casa Agency vende Local muy emblemático situado en planta baja con una superficie de 65m² totalmente diáfano. Ha sido utilizado para l...
Local en calle Ardemans, Guindalera, Madrid;365.000;280;915 465 453;Amplio local a pie de calle de 281m² en Zona Guindalera. Distrito Salamanca. El local está distribuido en dos plantas. Dispone de 2 aseos...
Local en calle de Antonio Rodríguez, 12, Puerta Bonita, Madrid;135.000;120;919 196 669;Redpiso Buenavista vende en exclusiva estupendo local de 113 m² útiles completamente diáfano. El local está distribuido en 2 plantas con...
Local en Fuente del Berro, Madrid;750.000;587;914 871 327;SPI REAL ESTATE gestiona en VENTA LOCAL PUERTA CALLE con referencia 01480. También apto para inversores que quieran rentabilidad. DISTRI...
Local en Castellana, Madrid;525.000;57;911 363 092;Única Inmobiliaria presenta local comercial en esquina con excelente situación en el barrio de Salamanca, en la zona de Castellana. Cuent...
Nave en calle Puerto de Pozazal, 4, Casco Histórico de Vallecas, Madrid;500.000;1.060;91 534 48 31;Nave industrial número 23 del complejo industrial de Villa de Vallecas. Situada en una primera planta, se encuentra sobre las naves 20, 2...
Local en Huertas-Cortes, Madrid;750.000;90;918 001 389;Excelente local comercial en el Centro de la Capital con inmejorable ubicación en el Barrio de las Cortes. Consta de dos plantas, sala pr...
Local en Bernabéu-Hispanoamérica, Madrid;590.000;196;914 871 327;ATENCIÓN INVERSORES, ESTUPENDO LOCAL comercial a pie de calle, muchas posibilidades, para uso de oficina u hostelería, actualmente alquil...
Local en calle de la infanta mercedes, 89, Cuzco-Castillejos, Madrid;1.450.000;820;918 759 276;Se vende amplio local en castillejos, zona muy transitada, próximo a todos los servicios, metros cuzco y tetuan, calle infanta mercedes a...
Local en Recoletos, Madrid;3.300.000;490;912 771 071;En pleno barrio de Recoletos, junto a lugares tan emblemáticos como la puerta de Alcalá y el Parque del Retiro se localiza este espectacu...
Local en calle de Martínez de la Riva, San Diego, Madrid;68.000;70;911 363 142;Ref. 13.273 Inmobiliaria kronox vende local  frente al mercado  del Puente de Vallecas y Mercadona. El local dispone de licencia de taber...
Local en calle de Orense, Cuzco-Castillejos, Madrid;1.815.600;424;912 179 375;Mr. House Real Estate vende: Conjunto de 4 locales en venta en Madrid. Local comercial en bruto ubicado en la planta baja de un edificio...
Local en paseo de Juan XXIII, Ciudad Universitaria, Madrid;950.000;248;910 228 132;Se vende local comercial en excelente zona de Chamberí  Vallehermoso. Se distribuye en 2 plantas, con fachada de 12,5 mts, totalmente ext...
Local en calle de Diego de León, Castellana, Madrid;700.000;140;912 974 067;REAL ESTATE BARRIO SALAMANCA tiene el placer de comercializar en exclusiva la venta de un magnífico local en la calle Diego de León. El i...
Local en calle del Ansar, Los Cármenes, Madrid;149.000;205;910 219 461;Se vende LOCAL comercial / nave de 205m² en Los Cármenes! Calle Ansar. Paralelo a la calle Sepúlveda y muy próximo al metro de Lucero. Si...
Local en calle de Eugenio Salazar, Ciudad Jardín, Madrid;240.000;101;915 344 831;Local comercial a pie de calle. 101 m2 + 15 m2 añadidos. Se vende por herencia. Requiere reforma. Se distribuye actualmente en 5 despach...
Local en calle de la Batalla del Salado, Delicias, Madrid;149.000;56;911 924 320;Redpiso Delicias vende Local en calle Batalla de Salado esquina calle Ferrocarril, tiene una superficie de 64 m², ubicación inmejorable,...
Local o nave en calle Alfaro, Vista Alegre, Madrid;99.000;216;913 533 693;Vivienda2 vende la mayor oportunidad para inversores de toda la zona con gran diferencia por su impresionante rentabilidad y relación met...
Local en avenida de Ramón y Cajal, Colina, Madrid;295.000;57;910 075 958;REDPISO SERVICIOS INMOBILIARIOS ZONA ARTURO SORIA-PIOVERA, vende local comercial actualmente en activo con licencia como tintorería en un...
Nave en calle de Mario Roso de Luna, Rejas, Madrid;700.000;923;912 179 375;Mr house real estate vende! nave en venta en madrid. Nave diáfana adosada con techado a dos aguas. Dispone de zona destinada a oficina,...
Local en calle de Uruguay, Bernabéu-Hispanoamérica, Madrid;380.000;176;915 152 886;Atención inversores: REDPISO HISPANOAMERICA ofrece local comercial en la calle Uruguay, cuya última actividad fue una oficina. Consta de...
Local en calle de Velázquez, Recoletos, Madrid;1.475.000;70;912 179 375;MR HOUSE REAL ESTATE VENDE: Local comercial EN RENTABILIDAD en una de las mejores calles de Salamanca, Velazquez, rodeado de primeras ma...
Local en calle de Vital Aza, Pueblo Nuevo, Madrid;158.000;72;912 335 582;Grupo Inmobiliario Redpiso -Ciudad Lineal-Ascao, Vende Local comercial, 53 m²en la C/ Vitalaza, en una inmejorable zona, Localización per...
Local en calle Vital Aza, Pueblo Nuevo, Madrid;172.000;114;914 898 337;Local comercial reformado, a pie de calle, ideal para cualquier tipo de negocio. Dispone de escaparate de 2,86 X 2,76 metros, baño equipa...
Local en calle San Gumersindo, Ventas, Madrid;109.000;160;918 002 537;Local en planta sótano! con uso de almacén estacionamiento. Entrada directa desde la calle mediante rampa de acceso. En el interior se di...
Local en calle del Molino de Viento, Malasaña-Universidad, Madrid;990.000;304;911 743 641;Atención inversores Retail vende local de hostelería en rentabilidad sito en el distrito Centro. Zona muy turística con gran tránsito pe...
Local en calle de Valverde, Malasaña-Universidad, Madrid;595.000;100;911 743 641;Atención inversores Retail vende local en rentabilidad, en pleno distrito Centro, alquilado a dos empresas distintas. Zona con gran trán...
Local en calle de Almansa, Bellas Vistas, Madrid;568.200;234;912 179 375;MR HOUSE real estate vende este Local comercial en la calle Almansa, con salida de humos y 397 m2 en catastro. Céntrico y con entrada d...
Local en calle de San Jaime, Ensanche de Vallecas - La Gavia, Madrid;401.500;169;912 179 375;MR HOUSE REAL ESTATE VENDE! Local en la C/San Jaime, Madrid. Conjunto de locales comerciales, unidos físicamente formando una sola unida...
Nave en calle Abril, Rejas, Madrid;700.500;1.400;912 179 375;Mr house real estate vende! nave industrial de 1400 m2 distribuidos en tres plantas, siendo el sótano destinado a aparcamiento, la plant...
Local en calle Belianes, Pinar del Rey, Madrid;85.000;37;913 812 602;Si estás buscando local apto para cambiar a vivienda o si por el contrario buscas un local para iniciar o ampliar tu negocio en un excele...
Local en salas de barbadillo, 13, Pueblo Nuevo, Madrid;85.000;100;918 002 537;"ESQUINAZO" Local excelente zona de Madrid! Próximo al metro Ascao, autobuses, Ahorra más y otros sitios de interés cercanos. Excelente u...
Local en DE LOS ALMENDROS, 40, Valdebernardo - Valderribas, Madrid;105.000;55;911 796 376;Estupendo local comercial en Valdebernardo en avenida principal, Vereda de los Almendros, junto al supermercado DIA, mucho paso, tiene 6...
Local en calle de Toledo, Imperial, Madrid;600.000;99;912 179 375;MR HOUSE REAL ESTATE VENDE: Local en la famosa calle Toledo de Madrid, una de las arterias principales del centro de la ciudad, cella de...
Local en calle de Atocha, Lavapiés-Embajadores, Madrid;940.000;138;912 179 375;MR HOUSE REAL ESTATE VENDE: Local comercial en RENTABILIDAD en Ronda de Atocha, muy bien situado y comunicado en uno de los mejores tram...
Local en calle de Hermosilla, Goya, Madrid;3.400.000;827;912 179 375;MR HOUSE REAL ESTATE VENDE: Local EN RENTABILIDAD situado en pleno corazón del barrio de Salamanca, frente el mercado de Torrijos y haci...
Local en Plaza del Conde del Valle de Súchil, Arapiles, Madrid;540.000;220;912 666 718;PRECIO INNEGOCIABLE. Local en venta de 204 m2 en Argüelles. Muy buena ubicación. Localizado en la Plaza, en un entorno elegante y de mu...
Local en calle de Juan Español, Moscardó, Madrid;170.000;180;910 750 952;DEPLACE NO COBRAMOS AL COMPRADOR Y SOLO 2.990€ + IVA AL VENDEDOR. ¡Oportunidad de inversión, local a pie de calle de 2 plantas en la Cal...
Local en calle de la Princesa, Argüelles, Madrid;1.685.000;80;911 743 641;Retail vende magnífico local comercial sito en uno de los mejores tramos de la calle Princesa, muy cercano al intercambiador de Moncloa e...
Local en calle de San Cayetano, Lavapiés-Embajadores, Madrid;340.000;126;605 959 059;Exclusivo local reformado a pie de calle dividido en 2 plantas con un total de 126 metros y múltiples opciones de negocio. Se trata de u...
Local en calle de San Germán, 11, Cuatro Caminos, Madrid;700.000;218;669 819 453;OPORTUNIDAD INVERSIÓN! Local a pie de calle en planta baja de edificio residencial junto a Castellana. - 218 m2 útiles - Conjunto de 3 lo...
Local en calle de César Pastor Llopis, Santa Eugenia, Madrid;138.000;85;919 903 825;Redpiso Santa Eugenia comercializa en exclusiva la venta de este local de 85 metros cuadrados construidos aproximadamente en la calle Cés...
Local en calle Quesada, Trafalgar, Madrid;275.000;129;918 336 958;¡Oportunidad para su negocio! Se vende local en el barrio de Chamberí-Trafalgar. El local consta de 129 m2 dividido en dos plantas. El lo...
Local en calle de Santa Engracia, Almagro, Madrid;999.999;241;910 378 491;Oportunidad para su negocio, local en la Plaza de Chamberí escaparate a dos calles y con el Museo de la Estación de Chamberí en puerta. N...
Local en calle de Hermosilla, Goya, Madrid;370.000;90;912 977 900;Redpiso vende en exclusiva local totalmente reformado como VIVIENDA. Se encuentra distribuido en un dormitorio, salón, cocina americana...
